,Stakes,Odds,Available,Num_Runners,Race_Type,Going,Days,Bet_Strength,Result,Profit
32,2,10.0,1256,12,FLAT,HEAVY,12,1,LOSER,-2.0
33,2,4.3,523,7,FLAT,GOOD/FIRM,13,3,LOSER,-2.0
34,5,2.56,1464,14,FLAT,GOOD ,17,4,LOSER,-5.0
35,5,2.86,31,19,HURDLE,HEAVY,12,4,WINNER,14.299999999999999
36,5,3.55,137,6,FLAT,GOOD ,24,4,LOSER,-5.0
37,2,8.2,27,8,FLAT,FIRM,14,3,LOSER,-2.0
38,5,1.71,31,13,FLAT,FAST,17,5,LOSER,-5.0
39,2,1.73,180,20,HURDLE,SOFT,16,1,LOSER,-2.0
40,5,1.45,650,9,HURDLE,GOOD/SOFT,13,5,WINNER,7.25
41,2,2.54,47,8,FLAT,GOOD/SOFT,101,1,LOSER,-2.0
42,5,1.79,179,10,FLAT,FAST,30,5,WINNER,8.95
43,2,2.84,80,8,FLAT,GOOD/FIRM,55,2,LOSER,-2.0
44,2,1.07,319,7,CHASE,GOOD/SOFT,12,3,WINNER,2.14
45,2,250.0,62,21,FLAT,FAST,24,3,LOSER,-2.0
46,2,1.05,347,10,HURDLE,SOFT,25,3,WINNER,2.1
47,2,8.0,85,9,CHASE,GOOD/SOFT,62,1,LOSER,-2.0
48,2,1.63,5,20,FLAT,HEAVY,18,1,WINNER,3.26
49,2,1.74,685,10,FLAT,SOFT,52,3,WINNER,3.48
50,2,2.84,14,8,FLAT,FAST,43,3,LOSER,-2.0
51,5,70.0,1606,9,FLAT,FAST,29,5,LOSER,-5.0
52,5,1.61,84,6,FLAT,HEAVY,12,5,WINNER,8.05
53,2,1.51,338,11,FLAT,FAST,21,1,LOSER,-2.0
54,2,1.1,144,11,FLAT,FAST,7,3,WINNER,2.2
55,5,800.0,334,7,FLAT,GOOD/SOFT,17,5,LOSER,-5.0
56,2,1.04,783,13,FLAT,GOOD/SOFT,59,1,WINNER,2.08
57,2,1.44,26,22,FLAT,FIRM,65,2,WINNER,2.88
58,2,1.6,170,10,CHASE,FAST,43,3,WINNER,3.2
59,2,4.9,60,9,FLAT,FIRM,24,3,WINNER,9.8
60,2,19.0,226,12,FLAT,GOOD/SOFT,15,2,LOSER,-2.0
61,2,1.12,62,5,CHASE,FIRM,30,1,WINNER,2.24
62,2,40.0,3,8,FLAT,GOOD/SOFT,20,1,LOSER,-2.0
63,2,1.2,23,19,FLAT,GOOD/FIRM,66,1,WINNER,2.4
64,5,2.18,6,8,HURDLE,HEAVY,28,4,WINNER,10.9
65,2,3.8,1987,8,HURDLE,HEAVY,15,1,LOSER,-2.0
66,5,6.6,136,12,HURDLE,HEAVY,50,5,WINNER,33.0
67,5,5.8,598,16,FLAT,GOOD/SOFT,9,5,LOSER,-5.0
68,2,3.8,929,7,HURDLE,GOOD/FIRM,23,2,LOSER,-2.0
69,2,1.68,37,6,HURDLE,FIRM,32,2,LOSER,-2.0
70,2,9.8,31,7,HURDLE,GOOD/FIRM,18,2,LOSER,-2.0
71,2,2.66,81,8,HURDLE,GOOD/FIRM,44,2,WINNER,5.32
72,2,2.92,135,5,FLAT,GOOD/FIRM,31,2,LOSER,-2.0
73,2,1.36,75,13,FLAT,GOOD/SOFT,15,2,WINNER,2.72
74,5,1.11,811,8,CHASE,GOOD ,15,4,LOSER,-5.0
75,2,3.35,1295,7,HURDLE,FAST,25,2,LOSER,-2.0
76,2,1.8,776,14,HURDLE,FAST,11,3,LOSER,-2.0
77,5,1.24,349,13,FLAT,GOOD/FIRM,23,5,WINNER,6.2
78,2,160.0,110,5,FLAT,FIRM,15,2,LOSER,-2.0
79,5,16.0,146,11,HURDLE,FAST,7,5,LOSER,-5.0
80,2,1.74,286,11,FLAT,FIRM,49,2,LOSER,-2.0
81,5,4.8,13,13,CHASE,FIRM,55,5,LOSER,-5.0
82,5,2.4,1832,11,HURDLE,FAST,11,5,LOSER,-5.0
83,2,4.2,84,6,HURDLE,GOOD ,24,1,LOSER,-2.0
84,2,1.66,360,8,CHASE,GOOD/SOFT,5,3,WINNER,3.32
85,2,1.74,691,10,HURDLE,GOOD ,24,2,WINNER,3.48
86,5,1.06,43,7,CHASE,GOOD ,28,5,WINNER,5.300000000000001
87,2,1.33,13,5,FLAT,GOOD/FIRM,6,1,WINNER,2.66
88,2,2.66,64,9,CHASE,GOOD/SOFT,19,3,WINNER,5.32
89,5,1.22,57,7,FLAT,FAST,18,5,LOSER,-5.0
90,2,200.0,160,6,FLAT,GOOD/SOFT,20,2,LOSER,-2.0
91,2,3.8,13,10,FLAT,GOOD/FIRM,9,2,LOSER,-2.0
92,2,2.74,23,11,HURDLE,GOOD/FIRM,104,2,WINNER,5.48
93,2,2.0,100,17,FLAT,GOOD/SOFT,25,2,WINNER,4.0
94,2,40.0,584,7,HURDLE,FIRM,31,2,LOSER,-2.0
95,2,16.0,292,7,HURDLE,GOOD/SOFT,7,3,LOSER,-2.0
96,2,1.92,235,7,FLAT,GOOD/FIRM,23,2,WINNER,3.84
97,5,6.2,883,16,HURDLE,FAST,84,4,LOSER,-5.0
98,5,16.0,6,7,HURDLE,GOOD/FIRM,31,4,LOSER,-5.0
99,5,1.98,43,13,FLAT,FAST,44,5,WINNER,9.9
100,2,2.1,406,8,CHASE,FIRM,14,3,LOSER,-2.0
101,2,1.41,613,20,CHASE,FIRM,12,2,WINNER,2.82
102,2,2.04,20,8,HURDLE,SOFT,64,3,WINNER,4.08
103,2,13.0,54,8,FLAT,GOOD/FIRM,23,2,LOSER,-2.0
104,2,12.0,166,11,FLAT,FAST,18,3,WINNER,24.0
105,2,2.42,5,7,HURDLE,GOOD/SOFT,21,3,WINNER,4.84
106,5,1.03,376,7,HURDLE,GOOD/SOFT,58,5,WINNER,5.15
107,5,2.24,236,10,FLAT,FIRM,31,5,LOSER,-5.0
108,2,9.6,2,9,HURDLE,FAST,21,2,WINNER,19.2
109,2,1.17,211,16,FLAT,GOOD ,9,2,WINNER,2.34
110,5,2.2,1880,8,FLAT,HEAVY,45,5,LOSER,-5.0
111,2,3.4,267,8,FLAT,HEAVY,14,1,WINNER,6.8
112,2,30.0,42,8,HURDLE,SOFT,57,2,LOSER,-2.0
113,2,8.2,170,6,HURDLE,GOOD/SOFT,22,3,WINNER,16.4
114,2,3.7,35,14,FLAT,FIRM,19,1,LOSER,-2.0
115,5,1.55,207,9,FLAT,GOOD/FIRM,7,5,WINNER,7.75
116,2,1.94,182,12,FLAT,GOOD/SOFT,50,3,LOSER,-2.0
117,2,6.6,33,8,FLAT,GOOD/FIRM,15,1,LOSER,-2.0
118,5,2.2,872,6,FLAT,FIRM,29,4,LOSER,-5.0
119,2,1.96,1755,9,FLAT,FAST,20,1,WINNER,3.92
120,2,1.85,121,23,CHASE,FIRM,28,1,WINNER,3.7
121,2,1.54,870,8,HURDLE,FIRM,52,3,WINNER,3.08
122,5,100.0,308,6,FLAT,GOOD ,13,5,LOSER,-5.0
123,5,9.4,546,10,HURDLE,HEAVY,39,4,LOSER,-5.0
124,2,40.0,612,7,FLAT,GOOD/FIRM,33,1,LOSER,-2.0
125,2,2.4,35,13,FLAT,GOOD/FIRM,18,3,LOSER,-2.0
126,2,100.0,368,5,FLAT,FIRM,19,1,LOSER,-2.0
127,2,7.4,5,16,FLAT,SOFT,7,2,LOSER,-2.0
128,2,50.0,83,5,FLAT,GOOD/FIRM,34,3,LOSER,-2.0
129,5,2.12,278,18,FLAT,GOOD ,28,4,WINNER,10.600000000000001
130,2,3.35,1116,7,FLAT,FAST,23,1,LOSER,-2.0
131,2,3.8,158,10,FLAT,GOOD ,9,1,LOSER,-2.0
132,2,5.7,230,6,HURDLE,GOOD/SOFT,56,2,LOSER,-2.0
133,2,11.0,75,15,FLAT,SOFT,36,3,WINNER,22.0
134,2,3.15,64,8,FLAT,GOOD/FIRM,18,1,LOSER,-2.0
135,5,2.44,902,5,FLAT,GOOD/FIRM,40,4,LOSER,-5.0
136,5,20.0,9,7,HURDLE,GOOD ,36,5,LOSER,-5.0
137,5,1.25,1828,7,CHASE,GOOD/FIRM,11,4,LOSER,-5.0
138,2,1.06,247,15,FLAT,GOOD/FIRM,17,2,WINNER,2.12
139,5,8.4,10,17,FLAT,GOOD ,5,5,LOSER,-5.0
140,2,1.34,950,11,HURDLE,HEAVY,17,2,LOSER,-2.0
141,2,1.78,524,5,CHASE,GOOD/SOFT,44,2,LOSER,-2.0
142,2,2.84,1058,11,FLAT,HEAVY,10,2,LOSER,-2.0
143,2,3.0,20,7,HURDLE,FIRM,23,2,LOSER,-2.0
144,2,140.0,50,6,FLAT,SOFT,60,1,LOSER,-2.0
145,2,1.37,375,7,HURDLE,GOOD/SOFT,36,2,WINNER,2.74
146,2,1.44,6,13,HURDLE,HEAVY,29,2,WINNER,2.88
147,5,1.05,558,18,FLAT,GOOD/FIRM,12,5,WINNER,5.25
148,5,2.48,512,8,HURDLE,GOOD ,15,5,WINNER,12.4
149,5,3.15,148,16,FLAT,FAST,15,5,WINNER,15.75
150,2,1.79,122,8,FLAT,HEAVY,44,3,LOSER,-2.0
151,2,1.45,1263,10,CHASE,GOOD/FIRM,17,3,WINNER,2.9
152,5,1.74,291,19,HURDLE,GOOD/FIRM,86,4,WINNER,8.7
153,2,1.52,349,8,FLAT,GOOD ,25,3,WINNER,3.04
154,2,2.04,3,10,FLAT,GOOD/FIRM,9,3,LOSER,-2.0
155,2,14.0,274,14,FLAT,HEAVY,6,2,LOSER,-2.0
156,2,2.94,384,14,CHASE,FIRM,36,2,WINNER,5.88
157,2,1.28,9,12,FLAT,SOFT,22,3,WINNER,2.56
158,5,2.66,108,8,CHASE,FAST,36,4,WINNER,13.3
159,5,1.06,52,21,FLAT,FAST,31,5,WINNER,5.300000000000001
160,5,3.6,1692,17,HURDLE,SOFT,15,4,WINNER,18.0
161,2,1.47,19,17,FLAT,GOOD/SOFT,19,3,LOSER,-2.0
162,5,350.0,115,7,FLAT,GOOD/SOFT,20,5,LOSER,-5.0
163,2,4.5,9,12,CHASE,FAST,11,1,LOSER,-2.0
164,2,1.52,6,6,CHASE,GOOD/FIRM,16,3,WINNER,3.04
165,2,1.72,221,12,FLAT,HEAVY,29,2,WINNER,3.44
166,5,1.52,33,11,CHASE,HEAVY,9,4,WINNER,7.6
167,2,1.33,295,6,FLAT,HEAVY,70,2,WINNER,2.66
168,2,18.0,180,6,FLAT,SOFT,23,1,LOSER,-2.0
169,5,1.49,49,16,HURDLE,GOOD ,18,5,WINNER,7.45
170,5,4.4,968,15,HURDLE,SOFT,25,4,LOSER,-5.0
171,2,9.0,165,9,FLAT,FIRM,12,1,LOSER,-2.0
172,2,2.04,897,9,HURDLE,FAST,21,2,LOSER,-2.0
173,2,1.12,95,11,FLAT,SOFT,32,3,WINNER,2.24
174,2,8.2,70,6,HURDLE,FIRM,19,2,LOSER,-2.0
175,2,1.63,13,19,HURDLE,SOFT,51,2,LOSER,-2.0
176,5,2.76,1766,18,HURDLE,GOOD/SOFT,31,5,LOSER,-5.0
177,5,4.1,52,7,FLAT,GOOD/SOFT,65,4,LOSER,-5.0
178,2,1.7,217,6,FLAT,HEAVY,19,2,WINNER,3.4
179,5,1.97,202,15,CHASE,SOFT,24,5,WINNER,9.85
180,5,1.67,803,10,HURDLE,HEAVY,46,4,LOSER,-5.0
182,2,1.56,378,6,CHASE,FAST,20,1,WINNER,3.12
183,2,5.2,43,11,HURDLE,FAST,48,1,LOSER,-2.0
184,2,1.48,66,9,FLAT,GOOD ,45,3,WINNER,2.96
185,2,9.2,65,13,FLAT,FIRM,22,1,LOSER,-2.0
186,2,4.0,58,6,CHASE,FIRM,22,3,LOSER,-2.0
187,5,1.74,809,13,FLAT,GOOD/FIRM,72,4,LOSER,-5.0
188,5,1.31,363,7,HURDLE,FIRM,66,4,WINNER,6.550000000000001
189,5,25.0,834,14,FLAT,FIRM,19,5,WINNER,125.0
190,5,1.77,262,18,CHASE,FIRM,81,5,LOSER,-5.0
191,2,1.66,67,14,FLAT,GOOD/FIRM,21,2,WINNER,3.32
192,5,5.5,439,15,CHASE,GOOD ,59,4,LOSER,-5.0
193,5,6.4,147,13,FLAT,GOOD ,72,4,LOSER,-5.0
194,2,7.4,161,7,FLAT,GOOD/FIRM,17,2,LOSER,-2.0
195,2,1.69,5,7,CHASE,HEAVY,8,2,WINNER,3.38
196,5,1.38,106,16,HURDLE,GOOD/FIRM,15,4,WINNER,6.8999999999999995
197,5,90.0,111,11,FLAT,HEAVY,19,4,LOSER,-5.0
198,2,1.93,1471,12,FLAT,FIRM,35,3,WINNER,3.86
199,2,15.0,126,6,HURDLE,FIRM,22,3,LOSER,-2.0
200,2,2.4,468,15,HURDLE,SOFT,111,1,LOSER,-2.0
201,2,600.0,1503,7,FLAT,FAST,16,3,LOSER,-2.0
202,5,1.17,464,13,FLAT,SOFT,16,5,WINNER,5.85
203,2,3.25,5,19,CHASE,GOOD/SOFT,22,3,LOSER,-2.0
205,2,2.58,113,9,FLAT,FIRM,27,2,WINNER,5.16
206,2,11.0,133,5,FLAT,HEAVY,33,1,LOSER,-2.0
207,2,1.73,444,13,FLAT,SOFT,10,1,WINNER,3.46
208,2,2.2,1563,7,HURDLE,FAST,21,1,WINNER,4.4
209,2,2.34,1109,8,FLAT,HEAVY,34,2,WINNER,4.68
210,5,4.9,127,7,FLAT,SOFT,25,4,LOSER,-5.0
211,5,1.72,31,15,HURDLE,FAST,8,4,WINNER,8.6
212,2,1.19,1695,7,FLAT,GOOD ,31,3,WINNER,2.38
213,5,2.9,245,12,HURDLE,FIRM,58,5,WINNER,14.5
214,2,1.42,469,13,HURDLE,GOOD/FIRM,26,2,WINNER,2.84
215,5,4.9,44,25,CHASE,SOFT,39,4,WINNER,24.5
216,2,13.0,51,10,FLAT,SOFT,93,3,LOSER,-2.0
217,2,1.5,90,23,HURDLE,FAST,21,1,WINNER,3.0
218,2,1.63,143,7,CHASE,HEAVY,14,1,LOSER,-2.0
219,2,9.6,366,17,CHASE,SOFT,18,1,LOSER,-2.0
220,5,3.85,15,10,CHASE,GOOD/SOFT,17,5,LOSER,-5.0
221,2,1.36,1184,8,HURDLE,HEAVY,54,2,WINNER,2.72
222,2,1.58,8,9,HURDLE,GOOD ,14,3,LOSER,-2.0
223,2,1.33,39,9,FLAT,GOOD/FIRM,59,2,WINNER,2.66
224,2,9.6,193,11,FLAT,GOOD/FIRM,55,2,LOSER,-2.0
225,2,1.31,30,6,FLAT,SOFT,11,3,LOSER,-2.0
226,2,1.9,2,13,FLAT,FIRM,8,1,WINNER,3.8
227,5,1.24,112,17,HURDLE,SOFT,71,4,WINNER,6.2
228,2,3.5,196,15,CHASE,GOOD/SOFT,33,3,LOSER,-2.0
229,2,2.46,35,11,HURDLE,SOFT,26,1,LOSER,-2.0
230,2,6.4,9,17,HURDLE,GOOD/FIRM,23,3,LOSER,-2.0
231,2,800.0,40,10,CHASE,HEAVY,17,3,LOSER,-2.0
233,2,3.0,6,14,HURDLE,GOOD/SOFT,56,2,WINNER,6.0
234,5,5.4,126,7,HURDLE,SOFT,21,5,LOSER,-5.0
235,2,1.91,822,21,HURDLE,GOOD ,25,2,LOSER,-2.0
236,2,1.84,27,10,FLAT,FIRM,11,2,LOSER,-2.0
237,5,1.64,202,10,HURDLE,GOOD/SOFT,27,4,WINNER,8.2
239,2,1.46,23,10,FLAT,GOOD/FIRM,22,2,WINNER,2.92
240,5,1.63,37,12,HURDLE,SOFT,50,4,WINNER,8.149999999999999
241,5,8.2,194,8,FLAT,FAST,33,4,LOSER,-5.0
242,5,2.8,68,8,FLAT,GOOD/FIRM,35,4,WINNER,14.0
243,2,2.84,2,8,CHASE,GOOD/FIRM,23,1,LOSER,-2.0
244,5,600.0,308,6,FLAT,GOOD/FIRM,36,5,LOSER,-5.0
245,5,2.76,34,19,HURDLE,GOOD/FIRM,49,5,LOSER,-5.0
246,2,18.0,14,6,HURDLE,SOFT,76,3,LOSER,-2.0
247,5,5.2,130,11,HURDLE,FIRM,37,4,WINNER,26.0
248,2,9.4,437,8,FLAT,FAST,21,3,LOSER,-2.0
249,5,2.1,72,10,FLAT,FIRM,30,4,WINNER,10.5
250,2,1.51,67,15,HURDLE,HEAVY,10,3,WINNER,3.02
251,2,16.0,23,9,FLAT,GOOD/FIRM,9,3,WINNER,32.0
252,5,1.27,6,8,HURDLE,FIRM,55,4,WINNER,6.35
253,5,50.0,26,6,HURDLE,GOOD ,24,5,LOSER,-5.0
254,2,1.9,50,12,HURDLE,GOOD/FIRM,58,1,WINNER,3.8
255,2,12.0,806,22,FLAT,GOOD ,44,2,LOSER,-2.0
256,2,1.64,359,6,HURDLE,GOOD/SOFT,13,1,LOSER,-2.0
257,2,2.24,199,9,FLAT,FIRM,13,2,WINNER,4.48
258,5,2.2,1708,17,HURDLE,FAST,24,4,LOSER,-5.0
259,2,2.24,67,21,CHASE,SOFT,15,1,WINNER,4.48
260,2,1.86,694,15,FLAT,SOFT,9,3,LOSER,-2.0
261,5,140.0,178,21,CHASE,HEAVY,21,5,LOSER,-5.0
262,2,300.0,253,13,HURDLE,SOFT,54,3,LOSER,-2.0
263,2,250.0,92,7,CHASE,GOOD ,33,1,LOSER,-2.0
264,2,120.0,73,7,FLAT,SOFT,40,3,LOSER,-2.0
265,5,17.0,55,22,FLAT,GOOD/SOFT,38,4,LOSER,-5.0
266,2,2.14,65,22,FLAT,GOOD/FIRM,5,3,LOSER,-2.0
267,2,1.44,32,6,FLAT,GOOD/SOFT,56,3,WINNER,2.88
268,2,900.0,88,11,HURDLE,SOFT,38,3,LOSER,-2.0
269,2,2.7,125,12,FLAT,GOOD/SOFT,7,2,WINNER,5.4
270,5,1.6,13,9,HURDLE,SOFT,12,5,WINNER,8.0
271,5,1.05,937,13,HURDLE,GOOD ,17,5,LOSER,-5.0
272,2,2.72,3,15,FLAT,FAST,33,2,WINNER,5.44
273,2,2.22,183,8,FLAT,GOOD ,40,2,LOSER,-2.0
274,2,1.09,237,12,FLAT,FAST,12,1,WINNER,2.18
275,5,2.8,85,6,FLAT,GOOD/SOFT,16,5,LOSER,-5.0
276,2,4.7,49,22,HURDLE,GOOD ,10,3,LOSER,-2.0
277,5,1.95,16,18,FLAT,GOOD ,24,4,WINNER,9.75
278,2,1.54,10,11,HURDLE,FAST,40,2,WINNER,3.08
279,2,70.0,77,8,CHASE,GOOD ,29,1,LOSER,-2.0
280,2,16.0,1191,8,HURDLE,SOFT,14,2,LOSER,-2.0
281,2,2.52,121,7,FLAT,FIRM,13,2,LOSER,-2.0
282,2,60.0,72,10,FLAT,HEAVY,23,2,LOSER,-2.0
283,2,1.22,582,19,HURDLE,GOOD/SOFT,15,2,WINNER,2.44
284,2,1.06,21,20,HURDLE,FIRM,38,2,WINNER,2.12
285,2,3.85,279,24,FLAT,GOOD ,14,3,LOSER,-2.0
286,5,8.8,45,12,CHASE,FAST,22,4,LOSER,-5.0
287,2,1.6,267,11,HURDLE,FIRM,16,1,WINNER,3.2
288,2,900.0,1107,6,FLAT,GOOD/FIRM,24,1,LOSER,-2.0
289,5,1.06,184,10,HURDLE,FAST,27,5,WINNER,5.300000000000001
290,2,90.0,7,16,HURDLE,FIRM,6,1,LOSER,-2.0
291,2,1.51,489,9,FLAT,HEAVY,31,3,LOSER,-2.0
292,2,1.54,499,8,FLAT,SOFT,20,2,WINNER,3.08
293,2,1.91,135,6,FLAT,FAST,19,3,LOSER,-2.0
294,2,2.0,315,11,FLAT,FAST,77,3,WINNER,4.0
295,5,1.12,1065,7,CHASE,GOOD/FIRM,18,4,WINNER,5.6000000000000005
296,5,4.3,9,8,CHASE,GOOD/FIRM,11,5,LOSER,-5.0
297,5,1.78,279,8,FLAT,FAST,16,5,LOSER,-5.0
298,2,2.42,959,22,FLAT,GOOD/SOFT,8,3,WINNER,4.84
299,2,500.0,3,12,HURDLE,GOOD/SOFT,19,2,LOSER,-2.0
300,2,1.62,623,7,FLAT,GOOD ,52,3,WINNER,3.24
301,2,1.34,291,5,CHASE,GOOD/FIRM,93,1,WINNER,2.68
302,2,5.1,15,9,CHASE,FIRM,8,1,LOSER,-2.0
303,2,2.0,112,14,HURDLE,SOFT,26,1,LOSER,-2.0
304,5,25.0,35,11,FLAT,GOOD ,11,5,LOSER,-5.0
305,5,1.92,228,13,CHASE,FIRM,75,5,WINNER,9.6
306,2,6.2,1472,7,HURDLE,GOOD/SOFT,14,2,LOSER,-2.0
307,2,2.6,137,6,HURDLE,SOFT,35,3,LOSER,-2.0
308,2,2.4,4,8,HURDLE,SOFT,34,1,WINNER,4.8
309,2,2.4,374,5,FLAT,GOOD ,37,2,LOSER,-2.0
310,2,1.54,5,16,HURDLE,GOOD/FIRM,14,2,WINNER,3.08
311,2,1.51,184,14,HURDLE,GOOD ,43,1,WINNER,3.02
312,2,2.26,15,21,HURDLE,HEAVY,59,3,LOSER,-2.0
313,2,11.0,592,17,CHASE,HEAVY,14,1,LOSER,-2.0
314,2,1.6,539,7,CHASE,GOOD ,18,1,WINNER,3.2
315,5,8.8,14,21,CHASE,FAST,60,5,WINNER,44.0
316,2,3.45,1106,6,CHASE,GOOD/FIRM,12,3,LOSER,-2.0
317,2,2.62,43,9,FLAT,SOFT,18,3,WINNER,5.24
318,2,3.55,22,7,FLAT,GOOD/FIRM,23,1,LOSER,-2.0
319,5,3.7,683,13,CHASE,FIRM,19,4,LOSER,-5.0
320,2,1.42,163,7,FLAT,GOOD/FIRM,75,1,WINNER,2.84
321,2,5.5,2,9,FLAT,GOOD ,48,1,LOSER,-2.0
322,2,4.8,19,13,HURDLE,FIRM,14,1,LOSER,-2.0
323,2,1.73,555,5,FLAT,GOOD/FIRM,31,2,LOSER,-2.0
324,2,1.26,37,13,FLAT,GOOD/SOFT,38,2,WINNER,2.52
325,2,1.83,793,12,FLAT,FAST,57,3,LOSER,-2.0
326,2,1.5,758,22,HURDLE,SOFT,20,2,WINNER,3.0
327,2,2.22,3,10,FLAT,GOOD ,12,2,LOSER,-2.0
328,5,1.03,56,14,FLAT,SOFT,16,4,WINNER,5.15
329,2,1.48,22,10,CHASE,GOOD/FIRM,16,1,WINNER,2.96
330,2,1.96,90,5,CHASE,GOOD ,15,3,WINNER,3.92
331,2,1.38,6,5,FLAT,FAST,10,2,WINNER,2.76
332,2,1.28,1219,10,HURDLE,HEAVY,57,3,WINNER,2.56
333,2,1.87,382,12,FLAT,FIRM,20,2,WINNER,3.74
334,2,5.7,442,7,FLAT,FIRM,24,1,LOSER,-2.0
335,2,17.0,12,8,FLAT,HEAVY,36,3,LOSER,-2.0
336,5,16.0,206,9,FLAT,FAST,98,5,LOSER,-5.0
337,2,9.2,84,11,HURDLE,HEAVY,8,2,LOSER,-2.0
338,2,2.64,39,8,HURDLE,HEAVY,21,1,WINNER,5.28
339,2,7.2,671,8,HURDLE,HEAVY,19,3,WINNER,14.4
340,2,2.12,236,9,FLAT,GOOD/SOFT,19,1,LOSER,-2.0
341,2,3.65,1404,18,HURDLE,FIRM,22,3,LOSER,-2.0
342,5,2.32,21,17,FLAT,GOOD/FIRM,40,4,WINNER,11.6
343,2,1.1,476,14,FLAT,HEAVY,14,2,LOSER,-2.0
344,2,2.72,364,7,CHASE,FIRM,13,2,WINNER,5.44
345,2,2.4,767,6,FLAT,HEAVY,28,1,LOSER,-2.0
346,2,5.4,91,6,HURDLE,SOFT,17,3,LOSER,-2.0
347,2,7.0,1107,12,FLAT,HEAVY,17,1,LOSER,-2.0
348,5,1.44,150,7,FLAT,SOFT,30,4,WINNER,7.199999999999999
349,2,2.14,755,6,HURDLE,GOOD/SOFT,25,2,LOSER,-2.0
350,2,1.36,91,21,HURDLE,GOOD/SOFT,83,2,LOSER,-2.0
351,2,3.7,151,8,FLAT,GOOD ,6,1,WINNER,7.4
352,2,1.42,97,12,FLAT,SOFT,29,2,WINNER,2.84
353,2,140.0,180,6,HURDLE,GOOD/SOFT,90,2,LOSER,-2.0
354,2,2.0,163,6,FLAT,FAST,34,1,LOSER,-2.0
355,2,25.0,57,10,HURDLE,GOOD ,9,3,LOSER,-2.0
356,5,1.59,222,18,CHASE,GOOD/FIRM,8,5,WINNER,7.95
357,2,700.0,759,10,FLAT,SOFT,12,2,LOSER,-2.0
358,2,4.4,103,5,HURDLE,GOOD/FIRM,18,1,LOSER,-2.0
359,2,200.0,70,6,FLAT,FIRM,7,3,LOSER,-2.0
360,2,1.46,430,16,HURDLE,SOFT,19,1,LOSER,-2.0
361,2,7.6,781,11,FLAT,HEAVY,29,3,LOSER,-2.0
362,5,11.0,491,17,CHASE,FAST,33,4,LOSER,-5.0
363,2,2.82,37,17,HURDLE,FAST,95,1,LOSER,-2.0
364,2,2.2,29,15,FLAT,SOFT,36,2,WINNER,4.4
365,2,4.7,39,7,FLAT,FIRM,25,1,LOSER,-2.0
366,2,3.85,1860,6,HURDLE,SOFT,10,1,LOSER,-2.0
367,5,1.92,20,13,HURDLE,HEAVY,19,4,WINNER,9.6
368,2,1.39,29,5,HURDLE,GOOD ,19,3,WINNER,2.78
369,5,5.4,1496,6,HURDLE,FAST,18,5,LOSER,-5.0
370,2,8.4,845,24,HURDLE,GOOD/FIRM,36,3,LOSER,-2.0
