Stakes,Odds,Available,Num_Runners,Race_Type,Going,Days,Bet_Strength,Result
5,2.4,1832,11,HURDLE,FAST,11,5,LOSER
2,4.2,84,6,HURDLE,GOOD ,24,1,LOSER
2,1.66,360,8,CHASE,GOOD/SOFT,5,3,WINNER
2,1.74,691,10,HURDLE,GOOD ,24,2,WINNER
5,1.06,43,7,CHASE,GOOD ,28,5,WINNER
2,1.33,13,5,FLAT,GOOD/FIRM,6,1,WINNER
2,2.66,64,9,CHASE,GOOD/SOFT,19,3,WINNER
5,1.22,57,7,FLAT,FAST,18,5,LOSER
2,200,160,6,FLAT,GOOD/SOFT,20,2,LOSER
2,3.8,13,10,FLAT,GOOD/FIRM,9,2,LOSER
2,2.74,23,11,HURDLE,GOOD/FIRM,104,2,WINNER
2,2,100,17,FLAT,GOOD/SOFT,25,2,WINNER
2,40,584,7,HURDLE,FIRM,31,2,LOSER
2,16,292,7,HURDLE,GOOD/SOFT,7,3,LOSER
2,1.92,235,7,FLAT,GOOD/FIRM,23,2,WINNER
5,6.2,883,16,HURDLE,FAST,84,4,LOSER
5,16,6,7,HURDLE,GOOD/FIRM,31,4,LOSER
5,1.98,43,13,FLAT,FAST,44,5,WINNER
2,2.1,406,8,CHASE,FIRM,14,3,LOSER
2,1.41,613,20,CHASE,FIRM,12,2,WINNER
2,2.04,20,8,HURDLE,SOFT,64,3,WINNER
2,13,54,8,FLAT,GOOD/FIRM,23,2,LOSER
2,12,166,11,FLAT,FAST,18,3,WINNER
2,2.42,5,7,HURDLE,GOOD/SOFT,21,3,WINNER
5,1.03,376,7,HURDLE,GOOD/SOFT,58,5,WINNER
5,2.24,236,10,FLAT,FIRM,31,5,LOSER
2,9.6,2,9,HURDLE,FAST,21,2,WINNER
2,1.17,211,16,FLAT,GOOD ,9,2,WINNER
5,2.2,1880,8,FLAT,HEAVY,45,5,LOSER
2,3.4,267,8,FLAT,HEAVY,14,1,WINNER
2,30,42,8,HURDLE,SOFT,57,2,LOSER
2,8.2,170,6,HURDLE,GOOD/SOFT,22,3,WINNER
2,3.7,35,14,FLAT,FIRM,19,1,LOSER
5,1.55,207,9,FLAT,GOOD/FIRM,7,5,WINNER
2,1.94,182,12,FLAT,GOOD/SOFT,50,3,LOSER
2,6.6,33,8,FLAT,GOOD/FIRM,15,1,LOSER
5,2.2,872,6,FLAT,FIRM,29,4,LOSER
2,1.96,1755,9,FLAT,FAST,20,1,WINNER
2,1.85,121,23,CHASE,FIRM,28,1,WINNER
2,1.54,870,8,HURDLE,FIRM,52,3,WINNER
5,100,308,6,FLAT,GOOD ,13,5,LOSER
5,9.4,546,10,HURDLE,HEAVY,39,4,LOSER
2,40,612,7,FLAT,GOOD/FIRM,33,1,LOSER
2,2.4,35,13,FLAT,GOOD/FIRM,18,3,LOSER
2,100,368,5,FLAT,FIRM,19,1,LOSER
2,7.4,5,16,FLAT,SOFT,7,2,LOSER
2,50,83,5,FLAT,GOOD/FIRM,34,3,LOSER
5,2.12,278,18,FLAT,GOOD ,28,4,WINNER
2,3.35,1116,7,FLAT,FAST,23,1,LOSER
2,3.8,158,10,FLAT,GOOD ,9,1,LOSER
2,5.7,230,6,HURDLE,GOOD/SOFT,56,2,LOSER
2,11,75,15,FLAT,SOFT,36,3,WINNER
2,3.15,64,8,FLAT,GOOD/FIRM,18,1,LOSER
5,2.44,902,5,FLAT,GOOD/FIRM,40,4,LOSER
5,20,9,7,HURDLE,GOOD ,36,5,LOSER
5,1.25,1828,7,CHASE,GOOD/FIRM,11,4,LOSER
2,1.06,247,15,FLAT,GOOD/FIRM,17,2,WINNER
5,8.4,10,17,FLAT,GOOD ,5,5,LOSER
2,1.34,950,11,HURDLE,HEAVY,17,2,LOSER
2,1.78,524,5,CHASE,GOOD/SOFT,44,2,LOSER
2,2.84,1058,11,FLAT,HEAVY,10,2,LOSER
2,3,20,7,HURDLE,FIRM,23,2,LOSER
2,140,50,6,FLAT,SOFT,60,1,LOSER
2,1.37,375,7,HURDLE,GOOD/SOFT,36,2,WINNER
2,1.44,6,13,HURDLE,HEAVY,29,2,WINNER
5,1.05,558,18,FLAT,GOOD/FIRM,12,5,WINNER
5,2.48,512,8,HURDLE,GOOD ,15,5,WINNER
5,3.15,148,16,FLAT,FAST,15,5,WINNER
2,1.79,122,8,FLAT,HEAVY,44,3,LOSER
2,1.45,1263,10,CHASE,GOOD/FIRM,17,3,WINNER
5,1.74,291,19,HURDLE,GOOD/FIRM,86,4,WINNER
2,1.52,349,8,FLAT,GOOD ,25,3,WINNER
2,2.04,3,10,FLAT,GOOD/FIRM,9,3,LOSER
2,14,274,14,FLAT,HEAVY,6,2,LOSER
2,2.94,384,14,CHASE,FIRM,36,2,WINNER
2,1.28,9,12,FLAT,SOFT,22,3,WINNER
5,2.66,108,8,CHASE,FAST,36,4,WINNER
5,1.06,52,21,FLAT,FAST,31,5,WINNER
5,3.6,1692,17,HURDLE,SOFT,15,4,WINNER
2,1.47,19,17,FLAT,GOOD/SOFT,19,3,LOSER
5,350,115,7,FLAT,GOOD/SOFT,20,5,LOSER
2,4.5,9,12,CHASE,FAST,11,1,LOSER
2,1.52,6,6,CHASE,GOOD/FIRM,16,3,WINNER
2,1.72,221,12,FLAT,HEAVY,29,2,WINNER
5,1.52,33,11,CHASE,HEAVY,9,4,WINNER
2,1.33,295,6,FLAT,HEAVY,70,2,WINNER
2,18,180,6,FLAT,SOFT,23,1,LOSER
5,1.49,49,16,HURDLE,GOOD ,18,5,WINNER
5,4.4,968,15,HURDLE,SOFT,25,4,LOSER
2,9,165,9,FLAT,FIRM,12,1,LOSER
2,2.04,897,9,HURDLE,FAST,21,2,LOSER
2,1.12,95,11,FLAT,SOFT,32,3,WINNER
2,8.2,70,6,HURDLE,FIRM,19,2,LOSER
2,1.63,13,19,HURDLE,SOFT,51,2,LOSER
5,2.76,1766,18,HURDLE,GOOD/SOFT,31,5,LOSER
5,4.1,52,7,FLAT,GOOD/SOFT,65,4,LOSER
2,1.7,217,6,FLAT,HEAVY,19,2,WINNER
5,1.97,202,15,CHASE,SOFT,24,5,WINNER
5,1.67,803,10,HURDLE,HEAVY,46,4,LOSER
2,3.55,1080,6,HURDLE,GOOD/FIRM,7,3,NON_RUNNER
2,1.56,378,6,CHASE,FAST,20,1,WINNER
2,5.2,43,11,HURDLE,FAST,48,1,LOSER
2,1.48,66,9,FLAT,GOOD ,45,3,WINNER
2,9.2,65,13,FLAT,FIRM,22,1,LOSER
2,4,58,6,CHASE,FIRM,22,3,LOSER
5,1.74,809,13,FLAT,GOOD/FIRM,72,4,LOSER
5,1.31,363,7,HURDLE,FIRM,66,4,WINNER
5,25,834,14,FLAT,FIRM,19,5,WINNER
5,1.77,262,18,CHASE,FIRM,81,5,LOSER
2,1.66,67,14,FLAT,GOOD/FIRM,21,2,WINNER
5,5.5,439,15,CHASE,GOOD ,59,4,LOSER
5,6.4,147,13,FLAT,GOOD ,72,4,LOSER
2,7.4,161,7,FLAT,GOOD/FIRM,17,2,LOSER
2,1.69,5,7,CHASE,HEAVY,8,2,WINNER
5,1.38,106,16,HURDLE,GOOD/FIRM,15,4,WINNER
5,90,111,11,FLAT,HEAVY,19,4,LOSER
2,1.93,1471,12,FLAT,FIRM,35,3,WINNER
2,15,126,6,HURDLE,FIRM,22,3,LOSER
2,2.4,468,15,HURDLE,SOFT,111,1,LOSER
2,600,1503,7,FLAT,FAST,16,3,LOSER
5,1.17,464,13,FLAT,SOFT,16,5,WINNER
2,3.25,5,19,CHASE,GOOD/SOFT,22,3,LOSER
5,3.2,114,8,HURDLE,SOFT,75,4,NON_RUNNER
2,2.58,113,9,FLAT,FIRM,27,2,WINNER
2,11,133,5,FLAT,HEAVY,33,1,LOSER
2,1.73,444,13,FLAT,SOFT,10,1,WINNER
2,2.2,1563,7,HURDLE,FAST,21,1,WINNER
2,2.34,1109,8,FLAT,HEAVY,34,2,WINNER
5,4.9,127,7,FLAT,SOFT,25,4,LOSER
5,1.72,31,15,HURDLE,FAST,8,4,WINNER
2,1.19,1695,7,FLAT,GOOD ,31,3,WINNER
5,2.9,245,12,HURDLE,FIRM,58,5,WINNER
2,1.42,469,13,HURDLE,GOOD/FIRM,26,2,WINNER
5,4.9,44,25,CHASE,SOFT,39,4,WINNER
2,13,51,10,FLAT,SOFT,93,3,LOSER
2,1.5,90,23,HURDLE,FAST,21,1,WINNER
2,1.63,143,7,CHASE,HEAVY,14,1,LOSER
2,9.6,366,17,CHASE,SOFT,18,1,LOSER
5,3.85,15,10,CHASE,GOOD/SOFT,17,5,LOSER
2,1.36,1184,8,HURDLE,HEAVY,54,2,WINNER
2,1.58,8,9,HURDLE,GOOD ,14,3,LOSER
2,1.33,39,9,FLAT,GOOD/FIRM,59,2,WINNER
2,9.6,193,11,FLAT,GOOD/FIRM,55,2,LOSER
2,1.31,30,6,FLAT,SOFT,11,3,LOSER
2,1.9,2,13,FLAT,FIRM,8,1,WINNER
5,1.24,112,17,HURDLE,SOFT,71,4,WINNER
2,3.5,196,15,CHASE,GOOD/SOFT,33,3,LOSER
2,2.46,35,11,HURDLE,SOFT,26,1,LOSER
2,6.4,9,17,HURDLE,GOOD/FIRM,23,3,LOSER
2,800,40,10,CHASE,HEAVY,17,3,LOSER
2,9.4,856,13,FLAT,FIRM,25,2,NON_RUNNER
2,3,6,14,HURDLE,GOOD/SOFT,56,2,WINNER
5,5.4,126,7,HURDLE,SOFT,21,5,LOSER
2,1.91,822,21,HURDLE,GOOD ,25,2,LOSER
2,1.84,27,10,FLAT,FIRM,11,2,LOSER
5,1.64,202,10,HURDLE,GOOD/SOFT,27,4,WINNER
5,1.36,51,9,HURDLE,GOOD ,23,4,NON_RUNNER
2,1.46,23,10,FLAT,GOOD/FIRM,22,2,WINNER
5,1.63,37,12,HURDLE,SOFT,50,4,WINNER
5,8.2,194,8,FLAT,FAST,33,4,LOSER
5,2.8,68,8,FLAT,GOOD/FIRM,35,4,WINNER
2,2.84,2,8,CHASE,GOOD/FIRM,23,1,LOSER
5,600,308,6,FLAT,GOOD/FIRM,36,5,LOSER
5,2.76,34,19,HURDLE,GOOD/FIRM,49,5,LOSER
2,18,14,6,HURDLE,SOFT,76,3,LOSER
5,5.2,130,11,HURDLE,FIRM,37,4,WINNER
2,9.4,437,8,FLAT,FAST,21,3,LOSER
5,2.1,72,10,FLAT,FIRM,30,4,WINNER
2,1.51,67,15,HURDLE,HEAVY,10,3,WINNER
2,16,23,9,FLAT,GOOD/FIRM,9,3,WINNER
5,1.27,6,8,HURDLE,FIRM,55,4,WINNER
5,50,26,6,HURDLE,GOOD ,24,5,LOSER
2,1.9,50,12,HURDLE,GOOD/FIRM,58,1,WINNER
2,12,806,22,FLAT,GOOD ,44,2,LOSER
2,1.64,359,6,HURDLE,GOOD/SOFT,13,1,LOSER
2,2.24,199,9,FLAT,FIRM,13,2,WINNER
5,2.2,1708,17,HURDLE,FAST,24,4,LOSER
2,2.24,67,21,CHASE,SOFT,15,1,WINNER
2,1.86,694,15,FLAT,SOFT,9,3,LOSER
5,140,178,21,CHASE,HEAVY,21,5,LOSER
2,300,253,13,HURDLE,SOFT,54,3,LOSER
2,250,92,7,CHASE,GOOD ,33,1,LOSER
2,120,73,7,FLAT,SOFT,40,3,LOSER
5,17,55,22,FLAT,GOOD/SOFT,38,4,LOSER
2,2.14,65,22,FLAT,GOOD/FIRM,5,3,LOSER
2,1.44,32,6,FLAT,GOOD/SOFT,56,3,WINNER
2,900,88,11,HURDLE,SOFT,38,3,LOSER
2,2.7,125,12,FLAT,GOOD/SOFT,7,2,WINNER
5,1.6,13,9,HURDLE,SOFT,12,5,WINNER
5,1.05,937,13,HURDLE,GOOD ,17,5,LOSER
2,2.72,3,15,FLAT,FAST,33,2,WINNER
2,2.22,183,8,FLAT,GOOD ,40,2,LOSER
2,1.09,237,12,FLAT,FAST,12,1,WINNER
5,2.8,85,6,FLAT,GOOD/SOFT,16,5,LOSER
2,4.7,49,22,HURDLE,GOOD ,10,3,LOSER
5,1.95,16,18,FLAT,GOOD ,24,4,WINNER
2,1.54,10,11,HURDLE,FAST,40,2,WINNER
2,70,77,8,CHASE,GOOD ,29,1,LOSER
2,16,1191,8,HURDLE,SOFT,14,2,LOSER
2,2.52,121,7,FLAT,FIRM,13,2,LOSER
2,60,72,10,FLAT,HEAVY,23,2,LOSER
2,1.22,582,19,HURDLE,GOOD/SOFT,15,2,WINNER
2,1.06,21,20,HURDLE,FIRM,38,2,WINNER
2,3.85,279,24,FLAT,GOOD ,14,3,LOSER
5,8.8,45,12,CHASE,FAST,22,4,LOSER
2,1.6,267,11,HURDLE,FIRM,16,1,WINNER
2,900,1107,6,FLAT,GOOD/FIRM,24,1,LOSER
5,1.06,184,10,HURDLE,FAST,27,5,WINNER
2,90,7,16,HURDLE,FIRM,6,1,LOSER
2,1.51,489,9,FLAT,HEAVY,31,3,LOSER
2,1.54,499,8,FLAT,SOFT,20,2,WINNER
2,1.91,135,6,FLAT,FAST,19,3,LOSER
2,2,315,11,FLAT,FAST,77,3,WINNER
5,1.12,1065,7,CHASE,GOOD/FIRM,18,4,WINNER
5,4.3,9,8,CHASE,GOOD/FIRM,11,5,LOSER
5,1.78,279,8,FLAT,FAST,16,5,LOSER
2,2.42,959,22,FLAT,GOOD/SOFT,8,3,WINNER
2,500,3,12,HURDLE,GOOD/SOFT,19,2,LOSER
2,1.62,623,7,FLAT,GOOD ,52,3,WINNER
2,1.34,291,5,CHASE,GOOD/FIRM,93,1,WINNER
2,5.1,15,9,CHASE,FIRM,8,1,LOSER
2,2,112,14,HURDLE,SOFT,26,1,LOSER
5,25,35,11,FLAT,GOOD ,11,5,LOSER
5,1.92,228,13,CHASE,FIRM,75,5,WINNER
2,6.2,1472,7,HURDLE,GOOD/SOFT,14,2,LOSER
2,2.6,137,6,HURDLE,SOFT,35,3,LOSER
2,2.4,4,8,HURDLE,SOFT,34,1,WINNER
2,2.4,374,5,FLAT,GOOD ,37,2,LOSER
2,1.54,5,16,HURDLE,GOOD/FIRM,14,2,WINNER
2,1.51,184,14,HURDLE,GOOD ,43,1,WINNER
2,2.26,15,21,HURDLE,HEAVY,59,3,LOSER
2,11,592,17,CHASE,HEAVY,14,1,LOSER
2,1.6,539,7,CHASE,GOOD ,18,1,WINNER
5,8.8,14,21,CHASE,FAST,60,5,WINNER
2,3.45,1106,6,CHASE,GOOD/FIRM,12,3,LOSER
2,2.62,43,9,FLAT,SOFT,18,3,WINNER
2,3.55,22,7,FLAT,GOOD/FIRM,23,1,LOSER
5,3.7,683,13,CHASE,FIRM,19,4,LOSER
2,1.42,163,7,FLAT,GOOD/FIRM,75,1,WINNER
2,5.5,2,9,FLAT,GOOD ,48,1,LOSER
2,4.8,19,13,HURDLE,FIRM,14,1,LOSER
2,1.73,555,5,FLAT,GOOD/FIRM,31,2,LOSER
2,1.26,37,13,FLAT,GOOD/SOFT,38,2,WINNER
2,1.83,793,12,FLAT,FAST,57,3,LOSER
2,1.5,758,22,HURDLE,SOFT,20,2,WINNER
2,2.22,3,10,FLAT,GOOD ,12,2,LOSER
5,1.03,56,14,FLAT,SOFT,16,4,WINNER
2,1.48,22,10,CHASE,GOOD/FIRM,16,1,WINNER
2,1.96,90,5,CHASE,GOOD ,15,3,WINNER
2,1.38,6,5,FLAT,FAST,10,2,WINNER
2,1.28,1219,10,HURDLE,HEAVY,57,3,WINNER
2,1.87,382,12,FLAT,FIRM,20,2,WINNER
2,5.7,442,7,FLAT,FIRM,24,1,LOSER
2,17,12,8,FLAT,HEAVY,36,3,LOSER
5,16,206,9,FLAT,FAST,98,5,LOSER
2,9.2,84,11,HURDLE,HEAVY,8,2,LOSER
2,2.64,39,8,HURDLE,HEAVY,21,1,WINNER
2,7.2,671,8,HURDLE,HEAVY,19,3,WINNER
2,2.12,236,9,FLAT,GOOD/SOFT,19,1,LOSER
2,3.65,1404,18,HURDLE,FIRM,22,3,LOSER
5,2.32,21,17,FLAT,GOOD/FIRM,40,4,WINNER
2,1.1,476,14,FLAT,HEAVY,14,2,LOSER
2,2.72,364,7,CHASE,FIRM,13,2,WINNER
2,2.4,767,6,FLAT,HEAVY,28,1,LOSER
2,5.4,91,6,HURDLE,SOFT,17,3,LOSER
2,7,1107,12,FLAT,HEAVY,17,1,LOSER
5,1.44,150,7,FLAT,SOFT,30,4,WINNER
2,2.14,755,6,HURDLE,GOOD/SOFT,25,2,LOSER
2,1.36,91,21,HURDLE,GOOD/SOFT,83,2,LOSER
2,3.7,151,8,FLAT,GOOD ,6,1,WINNER
2,1.42,97,12,FLAT,SOFT,29,2,WINNER
2,140,180,6,HURDLE,GOOD/SOFT,90,2,LOSER
2,2,163,6,FLAT,FAST,34,1,LOSER
2,25,57,10,HURDLE,GOOD ,9,3,LOSER
5,1.59,222,18,CHASE,GOOD/FIRM,8,5,WINNER
2,700,759,10,FLAT,SOFT,12,2,LOSER
2,4.4,103,5,HURDLE,GOOD/FIRM,18,1,LOSER
2,200,70,6,FLAT,FIRM,7,3,LOSER
2,1.46,430,16,HURDLE,SOFT,19,1,LOSER
2,7.6,781,11,FLAT,HEAVY,29,3,LOSER
5,11,491,17,CHASE,FAST,33,4,LOSER
2,2.82,37,17,HURDLE,FAST,95,1,LOSER
2,2.2,29,15,FLAT,SOFT,36,2,WINNER
2,4.7,39,7,FLAT,FIRM,25,1,LOSER
2,3.85,1860,6,HURDLE,SOFT,10,1,LOSER
5,1.92,20,13,HURDLE,HEAVY,19,4,WINNER
2,1.39,29,5,HURDLE,GOOD ,19,3,WINNER
5,5.4,1496,6,HURDLE,FAST,18,5,LOSER
2,8.4,845,24,HURDLE,GOOD/FIRM,36,3,LOSER
5,2.26,119,8,CHASE,FIRM,37,5,WINNER
2,6,21,13,CHASE,FAST,48,3,LOSER
2,2.42,158,13,CHASE,SOFT,14,1,LOSER
5,2.84,123,6,CHASE,FAST,28,4,LOSER
2,1.01,27,8,FLAT,GOOD/FIRM,26,1,WINNER
2,1.59,34,10,FLAT,SOFT,19,3,WINNER
2,4.4,886,9,FLAT,GOOD/SOFT,19,1,LOSER
2,4.4,147,8,HURDLE,FAST,103,3,LOSER
2,1.32,316,9,CHASE,FAST,29,3,WINNER
5,300,1923,6,HURDLE,FIRM,17,5,LOSER
2,1.88,4,6,FLAT,FAST,14,2,WINNER
2,1.13,206,7,CHASE,GOOD/FIRM,50,3,WINNER
2,2.1,68,8,FLAT,GOOD/FIRM,15,2,WINNER
5,9.4,470,11,FLAT,GOOD/SOFT,24,4,LOSER
2,1.6,878,10,FLAT,HEAVY,36,2,WINNER
5,12,188,16,CHASE,HEAVY,18,4,LOSER
2,2.88,84,7,FLAT,SOFT,8,1,LOSER
5,2.6,5,7,CHASE,GOOD/SOFT,45,4,LOSER
5,7.2,61,8,FLAT,GOOD/SOFT,42,4,WINNER
2,2.08,114,6,HURDLE,HEAVY,20,2,LOSER
2,5.5,4,8,FLAT,FAST,20,1,LOSER
2,2.22,44,11,HURDLE,FIRM,28,1,WINNER
2,1.4,3,6,FLAT,FIRM,10,1,LOSER
2,2.22,91,14,FLAT,FAST,15,3,WINNER
2,160,29,9,HURDLE,FIRM,32,3,LOSER
2,3.75,69,11,CHASE,HEAVY,24,3,LOSER
2,1.13,136,7,FLAT,HEAVY,15,2,LOSER
2,9.2,13,5,FLAT,HEAVY,32,2,LOSER
5,25,43,11,FLAT,GOOD/FIRM,22,4,LOSER
5,14,921,21,HURDLE,GOOD/FIRM,15,5,LOSER
2,6.4,44,10,FLAT,HEAVY,18,3,LOSER
5,1.55,24,18,HURDLE,SOFT,53,4,WINNER
2,1.49,572,7,FLAT,GOOD ,33,2,WINNER
5,3.55,5,9,FLAT,FAST,16,4,LOSER
2,1.81,252,7,FLAT,GOOD ,16,1,WINNER
2,300,5,5,FLAT,GOOD/FIRM,20,1,LOSER
5,4.6,97,6,FLAT,GOOD/FIRM,18,4,LOSER
2,10,147,20,FLAT,GOOD/SOFT,21,1,LOSER
2,4,60,8,FLAT,GOOD/SOFT,7,2,LOSER
2,6.8,173,6,FLAT,GOOD/SOFT,25,2,WINNER
2,4.8,239,7,FLAT,GOOD/FIRM,14,3,LOSER
2,1.17,785,10,FLAT,GOOD ,12,3,WINNER
2,35,96,8,FLAT,GOOD/FIRM,23,1,LOSER
2,8.2,584,16,HURDLE,GOOD/SOFT,9,1,LOSER
2,1.86,134,5,FLAT,GOOD/SOFT,12,2,LOSER
2,3.5,1661,13,HURDLE,GOOD ,18,1,LOSER
2,1.42,1217,5,FLAT,GOOD/FIRM,25,2,LOSER
5,6.2,1012,16,HURDLE,FIRM,31,4,WINNER
2,11,527,13,FLAT,HEAVY,18,1,LOSER
5,300,24,9,FLAT,GOOD/SOFT,78,4,LOSER
2,6.2,249,11,FLAT,SOFT,28,1,LOSER
2,1.08,181,9,FLAT,GOOD ,24,3,WINNER
2,90,82,5,FLAT,HEAVY,18,1,LOSER
2,1.47,11,18,HURDLE,SOFT,22,1,WINNER
5,1.99,110,16,FLAT,FAST,22,5,WINNER
2,3.7,199,19,HURDLE,GOOD/SOFT,32,1,LOSER
5,2.52,325,7,FLAT,GOOD/SOFT,40,4,WINNER
2,2.18,38,12,HURDLE,GOOD/FIRM,12,2,WINNER
2,1.39,692,8,HURDLE,GOOD ,19,1,WINNER
2,3.35,1331,16,FLAT,GOOD/SOFT,58,3,LOSER
2,4.3,12,6,FLAT,GOOD/FIRM,31,2,LOSER
5,1.25,70,10,FLAT,FIRM,37,5,WINNER
2,3.1,2,7,HURDLE,GOOD ,68,3,LOSER
2,2.4,944,9,FLAT,FAST,15,1,LOSER
5,5.1,116,16,HURDLE,GOOD ,13,5,LOSER
2,1.6,28,13,FLAT,FAST,14,3,WINNER
5,1.6,8,12,HURDLE,GOOD ,13,5,WINNER
2,8.6,125,7,HURDLE,FAST,11,2,LOSER
2,2.06,1407,22,CHASE,GOOD ,30,1,LOSER
2,1.84,262,13,FLAT,SOFT,23,1,WINNER
2,8,24,16,FLAT,FIRM,38,1,LOSER
2,2.1,535,12,CHASE,GOOD ,92,1,WINNER
2,1.03,176,7,FLAT,SOFT,52,3,WINNER
2,2.8,222,10,FLAT,HEAVY,15,3,LOSER
5,2.68,49,11,HURDLE,GOOD/FIRM,36,4,WINNER
2,1.56,44,6,HURDLE,GOOD/FIRM,17,2,LOSER
5,1.05,90,8,FLAT,FIRM,37,4,WINNER
2,3.7,27,8,HURDLE,GOOD/FIRM,53,1,LOSER
2,1.67,191,11,FLAT,GOOD/SOFT,17,1,WINNER
5,2.28,1010,8,CHASE,GOOD/FIRM,17,5,WINNER
